texts,destination
โทรศัพท์มีปัญหาโทรออกได้ แต่เวลาคนอื่นโทรเข้ามา โทรไม่ได้ครับ,billing and payment
สอบถามเกี่ยวกับการโอนเงินของระบบเติมเงินไปอีกหมายเลขหนึ่ง,billing and payment
แจ้งเครื่องขัดข้อง พอดีดูสัญญาณไม่ได้ค่ะ,billing and payment
สวัสดีครับคือผมอยากทราบยอดค้างค่าบริการทั้งหมดของผม,billing and payment
พี่ครับ ผมอยากทราบว่าตอนนี้ยอดค้างของผมเท่าไหร่ครับพี่,billing and payment
ขอเพิ่มวงเงิน,billing and payment
หนูจะถามยอดค่าใช้งานหนะค่ะ,billing and payment
ช่วยเช็คเบอร์ ตอนนี้สัญญาณใช้ไม่ได้ เพราะอะไรคะ,billing and payment
ได้รับ sms มีใบแจ้งค่าบริการตีกลับ,billing and payment
ผมไปเติมเงินกดหมายเลขสลับกันผิดอ่ะครับ,billing and payment
ค่ะอยากให้ช่วยเปิดสัญญาณเบอร์นี้ให้หน่อยหน่ะค่ะ,billing and payment
มีหนังสือมาว่า ยังไม่ชำระค่าบริการ พอดีไปจ่ายมาแล้วอ่ะค่ะ,billing and payment
อยากทราบว่า ค่าบริการในโทรศัพท์ ครับ,billing and payment
สวัสดีค่ะ พอดีจะขอเช็คยอดเงินอ่ะค่ะ พอดีให้คนอื่นโอนเงินเข้ามาแต่ยอดเงินไม่เข้าระบบค่ะ,billing and payment
ครับหวัดีดครับผม...ถูกระบบไป ผม จ่าย ก่อนงวดนึงได้มั๊บครับ เดี๋ยวพรุ่งนี้ผมไป จ่าย อีกงวดนึงครับ,billing and payment
ผมมีบัตรอยู่ใบนึง แต่เติมเงินไม่เข้าครับ,billing and payment
อยากสอบถามยอดค้างชำระค่ะ,billing and payment
ค้างชำระค่าบริการเบอร์นี้เท่าไหร่ค่ะ,billing and payment
ขอสอบถามหน่อยครับผมซื้อ Aircard มา ที่เค้าบอกว่าเล่นเน็ตฟรี บาท ถ้าผมเช็คเงินมันจะขึ้นเลยไหมครับ,billing and payment
จะถามเกี่ยวโทรศัพท์โทรออกไมได้ค่ะ,billing and payment
ทำไมโทรศัพท์ถูกระงับสัญญาณบ่อยจัง,billing and payment
แจ้งเปิดสัญญาณครับ พอดีชำระค่าบริการแล้วแต่ยอดมันยังไม่เข้าระบบครับ,billing and payment
